g_orgs	mean
Archaea	834.934335
Bacteria	943.020605
Microsporidia	974.837340
Saccharomycotina	1481.492030
Mucoromycota	1556.128325
#Ascomycota	1640.509244
Ascomycota except Saccharomycotina	1723.547830
Basidiomycota	1884.245002
protists	2059.139453
Viridiplantae	3681.998556
Arthropoda	7314.754165
Actinopterygii	16991.892429
Aves	27877.229133
Mammalia	44982.428558
Primates	48594.583334
